US01M,US02Y,US03MY,US05Y,US10Y,US20Y,US30Y,FEDFUNDS,VIX,DJT,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,VIX,VIX3M,VIX9D,PC,PCC,TICK,TICK.NQ,TICK.US,TICKI,TICKQ,TKVD.US,1/VOLX,VIXM/VIXY,XLY*XLK/(XLP*XLU),ATHI.NQ-ATLO.NQ,ATHI.US-ATLO.US,HYG/UB1!,6A1!,6B1!,6C1!,6E1!,6J1!,6S1!,CL1!,CL2!,HG1!,PL1!,SI1!,GC1!,ES1!,NG1!,YM1!,RTY1!,ZT1!,ZF1!,ZN1!,ZB1!,UB1!,RB1!,RB2!
5.28,5.026,5.432,4.64,4.622,4.967,4.768,5.33,15.33,14276.79,82.71,33.53,101.07,175.16,68.5,60.04,125.57,158.69,15.33,17.34,14.66,0.932918,1.098652,-322,-37.0,-190.0,-11,400,-12941137.0,0.06311139160618491,0.8956521739130434,6.757693702981467,-458.0,-994.0,0.6305153538050735,0.6382,1.2229,0.7245,1.0689,0.0066485,1.11115,75.57,75.6,3.631,862.8,22.675,1964.4,4364.25,3.049,33964.0,1694.1,101.30078125,105.1171875,107.53125,113.03125,117.03125,2.1582,2.1329
5.28,5.026,5.432,4.64,4.622,4.967,4.768,5.33,15.37,14277.73,82.71,33.535,101.07,175.17,68.5,60.04,125.57,158.69,15.37,17.34,14.66,0.932918,1.098652,-322,-38.0,-170.0,-11,400,-12922966.0,0.06313131313131314,0.8956521739130434,6.757420008873384,-458.0,-982.0,0.6306008010680908,0.6382,1.2229,0.7245,1.0689,0.0066485,1.11115,75.57,75.6,3.631,862.8,22.675,1964.4,4365.0,3.049,33967.0,1694.3,101.30078125,105.1171875,107.53125,113.03125,117.03125,2.1582,2.1329
5.28,5.026,5.432,4.64,4.622,4.966,4.765,5.33,15.33,14277.55,82.71,33.54,101.07,175.16,68.5,60.04,125.58,158.69,15.33,17.34,14.66,0.932918,1.098652,-322,-3.0,-90.0,-11,400,-12906322.0,0.06313131313131314,0.8956521739130434,6.758545495217301,-458.0,-968.0,0.6306008010680908,0.63825,1.223,0.72455,1.06895,0.0066485,1.11115,75.57,75.6,3.631,862.9,22.675,1964.4,4365.75,3.049,33973.0,1694.8,101.296875,105.1171875,107.53125,113.03125,117.03125,2.1582,2.1329
5.28,5.026,5.432,4.64,4.622,4.966,4.765,5.33,15.33,14277.55,82.71,33.54,101.07,175.16,68.5,60.04,125.58,158.69,15.33,17.34,14.66,0.932918,1.098652,-322,-3.0,-90.0,-11,400,-12906322.0,0.06313131313131314,0.8956521739130434,6.758545495217301,-458.0,-968.0,0.6306008010680908,0.63825,1.223,0.72455,1.06895,0.0066485,1.11115,75.57,75.6,3.631,862.9,22.68,1964.5,4365.75,3.049,33973.0,1694.8,101.296875,105.1171875,107.53125,113.03125,117.03125,2.1582,2.1329
5.28,5.026,5.432,4.64,4.622,4.966,4.765,5.33,15.34,14282.5,82.72,33.54,101.09,175.21,68.5,60.05,125.59,158.72,15.34,17.34,14.65,0.932918,1.098652,-322,41.0,103.0,-11,400,-12761896.0,0.06323110970597534,0.8971691265424631,6.7606267769559425,-459.0,-927.0,0.6306862483311082,0.6383,1.223,0.7246,1.06895,0.0066485,1.1113,75.58,75.6,3.6315,863.1,22.685,1964.5,4366.0,3.049,33974.0,1694.6,101.296875,105.109375,107.53125,113.03125,117.03125,2.1582,2.1329
5.28,5.026,5.432,4.64,4.622,4.966,4.765,5.33,15.34,14282.42,82.73,33.54,101.1,175.21,68.51,60.05,125.6,158.72,15.34,17.34,14.65,0.932918,1.098652,-322,53.0,87.0,-11,400,-12741119.0,0.06325110689437065,0.8973862536302032,6.759639968201462,-459.0,-929.0,0.6306862483311082,0.6383,1.223,0.7246,1.06895,0.0066485,1.1113,75.58,75.6,3.6315,863.1,22.685,1964.5,4366.0,3.049,33974.0,1694.6,101.296875,105.109375,107.53125,113.03125,117.03125,2.1582,2.1329
5.28,5.026,5.432,4.64,4.622,4.966,4.765,5.33,15.3,14282.19,82.73,33.54,101.1,175.21,68.51,60.04,125.6,158.74,15.3,17.34,14.64,0.932918,1.098652,-322,38.0,72.0,-11,400,-12678004.0,0.06323110970597534,0.8973862536302032,6.761617735308268,-458.0,-924.0,0.6306862483311082,0.6383,1.223,0.7246,1.069,0.0066485,1.11135,75.58,75.6,3.6315,863.1,22.685,1964.7,4366.0,3.049,33973.0,1694.6,101.296875,105.1171875,107.53125,113.03125,117.03125,2.1582,2.1329
5.28,5.026,5.432,4.64,4.622,4.966,4.765,5.33,15.3,14282.19,82.73,33.54,101.1,175.21,68.51,60.04,125.6,158.74,15.3,17.34,14.64,0.932918,1.098652,-322,38.0,72.0,-11,400,-12678004.0,0.06323110970597534,0.8973862536302032,6.761617735308268,-458.0,-924.0,0.6306862483311082,0.6383,1.223,0.7246,1.069,0.0066485,1.11135,75.58,75.6,3.6315,863.1,22.685,1964.7,4366.0,3.049,33973.0,1694.6,101.296875,105.1171875,107.53125,113.03125,117.03125,2.1582,2.1329
5.28,5.026,5.432,4.637,4.622,4.963,4.765,5.33,15.3,14281.93,82.73,33.54,101.1,175.19,68.51,60.04,125.59,158.7,15.3,17.34,14.64,0.932846,1.097584,-322,35.0,-53.0,-11,400,-12594183.0,0.0632111251580278,0.8969521044992742,6.759142277648599,-457.0,-925.0,0.6306862483311082,0.6383,1.223,0.7246,1.069,0.0066485,1.11135,75.58,75.6,3.6315,863.1,22.685,1964.7,4366.25,3.049,33975.0,1694.7,101.296875,105.109375,107.53125,113.03125,117.03125,2.1582,2.1329
5.28,5.026,5.432,4.637,4.622,4.963,4.765,5.33,15.3,14281.8,82.735,33.54,101.1,175.19,68.51,60.04,125.59,158.7,15.3,17.34,14.64,0.932846,1.097584,-322,34.0,-40.0,-11,400,-12575810.0,0.0632111251580278,0.8969521044992742,6.759142277648599,-458.0,-930.0,0.6306862483311082,0.6383,1.223,0.7246,1.069,0.0066485,1.11135,75.57,75.6,3.6315,863.1,22.685,1964.7,4366.5,3.049,33977.0,1694.9,101.296875,105.109375,107.53125,113.03125,117.03125,2.1591,2.1338
